Full Address,Projected Rental Yield (%),Projected Annual Return (%),Share Price ($)
"621 E Le Claire Rd Eldridge, IA 52748",6.0,8.6,50
"12615 Jackson Ave Grandview, MO 64030",14.0,23.1,57
"5899 Stonewall Dr Harrison, Tennessee 37341",10.7,15.3,50
"75 Boulevard NE Unit 1 Atlanta, GA 30312",8.2,12.4,50
"128 N White Ave Kansas City, MO 64123",13.6,14.6,50
"Blue Luxury Hotel Boutique development Unit 216 Tulum, Mexico 77760",10.0,18.0,50
"110 Gardengate Dr Harvest, AL 35749",6.3,7.2,42
"665 Chapman St Edwardsville, IL 62025",5.5,9.9,57
"902 Karlann Dr Black Hawk, CO 80422",16.1,17.8,57
"2423 S 51st Ct Kansas City, KS 66106",21.6,24.8,68
"8202 Laurel Ave Raytown, MO 64138",11.3,17.7,45
"927 Euclid Ave Apt 10 Miami Beach, FL 33139",5.3,6.6,45
"3933 Walsh St St. Louis, Missouri 63116",8.2,13.7,50
"7542 & 7656 S Colfax Ave Chicago, IL 60649",13.2,17.4,30
"Ohio 3 Property Package Akron, Ohio 44117",11.8,19.3,38
"1248 S Keeler Ave Chicago, IL 60623",10.3,14.7,34
"12627 Franklin Blvd Lakewood, OH 44107",12.7,17.7,37
"8708 Willard Ave Cleveland, OH 44102",9.6,16.0,45
"8201 Madison Ave Cleveland, Ohio 44102",10.5,16.9,37
"8143 S Sangamon St Chicago, IL 60620",11.7,16.2,31
"9423 Denison Ave Cleveland, OH 44102",10.6,17.0,40
"1380 Kimball Cv Memphis, TN 38114",11.2,13.2,31
"4318 Clybourne Ave Cleveland, OH 44109",11.4,17.7,34
"917 Pawnee Ave Memphis, TN 38109",7.5,9.5,52
"3038-3040 Sinclair St Memphis, TN 38127",8.9,10.7,44
"755 Robinwood Dr Florissant, MO 63033",8.7,13.5,48
"4661 Berta Rd Memphis, TN 38109",8.0,10.0,47
"16171 Ilene St Detroit, MI 48221",7.6,9.5,52
"16301 Glendale Ave Cleveland, OH 44128",8.9,17.8,45
"5401 Odom Ave Fort Worth, TX 76114",6.4,5.4,40
"5541 S Peoria St Chicago, IL 60621",11.0,14.4,34
"26931 Shoreview Ave Euclid, OH 44132",7.6,13.7,47
"1432 Sara Ave Akron, Ohio 44305",13.5,22.7,34
"29172 Oakwood St Inkster, MI 48141",9.7,11.5,36
"4408 17th Ave Rock Island, Illinois 61201",9.0,14.3,48
"3031 W Flournoy St Chicago, IL 60612",9.1,11.9,39
"12808 Gruss Ave Cleveland, OH 44108",15.0,23.4,47
"6746 Westwood St Detroit, MI 48228",13.7,15.2,38
"10917 Fidelity Ave Cleveland, OH 44111",8.3,17.8,45
"5630 Morgan Ford Rd St Louis, MO 63116",8.3,13.8,40
"10157 Winkler Dr St. Louis, Missouri 63136",11.6,14.4,42
"12028 Wade Park Ave Cleveland, OH 44106",9.4,17.7,35
"25 Circle Dr Dixmoor, IL 60426",9.4,12.4,50
"3427 Sturdevant St Davenport, IA 52806",7.8,12.3,51
"251 Wachtel Ave St Louis, MO 63125",11.3,17.2,27
"333 Illinois Ave Lorain, Ohio 44052",6.8,16.6,51
"428 Cross St Akron, OH 44311",8.8,18.3,42
"703 23rd Ave Rock Island, Illinois 61201",8.2,13.5,47
"566 Nash St Akron, OH 44306",9.6,19.0,45
"3834 W Polk St Chicago, IL 60624",12.5,16.1,32
"542 Sumner St Akron, OH 44304",6.3,15.1,48
"2337 Greenvale Rd Cleveland, OH 44121",8.8,18.7,44
"9919 S Oglesby Ave Chicago, IL 60617",8.8,12.0,44
"9583 Pagewood Ave St. Louis, Missouri 63114",8.6,13.7,44
"3106 Quiet Lane St. Louis, MO 63114",6.5,11.6,47
"432 W Peebles Rd Memphis, TN 38109",8.2,10.2,49
"614 E 97th St Cleveland, Ohio 44108",13.1,21.5,35
"1456 W 85th St Cleveland, OH 44102",14.6,21.0,36
"783 Leonard St Akron, OH 44307",12.4,18.6,38
"799 Stadelman Ave Akron, Ohio 44320",10.5,19.2,32
"18474 Glenmore St Redford, MI 48240",5.6,7.0,43
"20413 Kingsville St Harper Woods, MI 48225",9.0,10.7,31
"3435-3437 Alberta St St. Louis, MO 63118",11.8,17.6,37
"6914 Polonia Ave Cleveland, OH 44105",8.6,18.2,55
"3429 W 8th St Cincinnati, OH 45205",9.7,13.1,39
"4312 E 162nd St Cleveland, OH 44128",7.7,16.6,35
"1339 E 115th St Cleveland, OH 44106",9.4,17.7,37
"14720 Ohio Ave Cleveland, OH 44128",11.4,20.3,32
"1677 Walker Ave Memphis, TN 38114",6.5,8.5,40
"7411 Elton Ave Cleveland, Ohio 44102",12.2,18.6,34
"2094 W 34th Place Cleveland, OH 44113",7.9,15.2,46
"1278 E 187th St Cleveland, OH 44110",9.0,15.6,52
"3133 Estes St Memphis, TN 38115",8.4,9.7,40
"9710 S Avenue L Ave Chicago, IL 60617",10.5,13.7,39
"4326 E 175th St Cleveland, OH 44128",7.5,16.4,49
"3024 W 103rd St Cleveland, OH 44111",11.6,21.1,45
"1388 Penhurst Rd Cleveland, OH 44110",7.1,13.7,54
"3139 West Blvd Cleveland, OH 44111",12.8,22.3,35
"1848 Baldwin Ave Memphis, Tennessee 38127",11.5,13.3,29
"9510 Silk Ave, Cleveland, Ohio 44102 Cleveland, Ohio 44109",14.2,20.5,41
"2724 Chatsworth St Memphis, TN 38127",10.0,11.8,45
"1106 29th Ave Rock Island, IL 61201",11.5,16.8,47
"3976 Stillwood Dr Memphis, TN 38128",5.7,7.3,50
"3493 W 119th St Cleveland, Ohio 44111",9.0,18.5,48
"14320 Granger Rd Maple Heights, Ohio 44137",13.2,23.2,34
"7014 Raymond Ave Saint Louis, MO 63130",9.9,14.0,38
"16713 Lotus Dr Cleveland, OH 44128",8.0,16.9,49
"2515 Coronet Dr Louisville, KY 40216",7.1,12.8,40
"1315 E 114th St Cleveland, OH 44106",11.0,19.3,39
"7757 Lamphere St Detroit, MI 48239",10.8,12.5,43
"3535 Debby Dr Memphis, TN 38127",8.7,10.5,41
"4245 E 177th Pl Cleveland, OH 44128",7.5,16.4,46
"9902 Garfield Ave Cleveland, Ohio 44108",16.9,25.3,30
"3878 Windermere Rd Memphis, TN 38128",10.0,11.6,35
"4131 Wright Ave Saint Ann, MO 63074",7.4,12.5,49
"615 Rose Ln Davenport, IA 52802",8.0,11.2,51
"4183 E 146th St Cleveland, OH 44128",12.8,21.7,39
"296 Huntington Ave Akron, OH 44306",11.3,20.7,35
"7480 Halpin Dr. St. Louis, Missouri 63135",12.2,17.1,33
"12507 Astor Ave Cleveland, Ohio 44135",9.1,16.1,46
"1133 Bethany Ave Akron, Ohio 44305",13.6,22.8,40
"3905 E 189th St Cleveland, OH 44122",7.7,13.8,51
"3561 Daleford Rd Shaker Heights, OH 44120",9.2,18.6,40
"1174 Tampa Ave Akron, Ohio 44314",15.5,24.4,30
"6422 Mount Ave St. Louis, MO 63121",8.3,12.5,50
"254 Bowmanville St Akron, Ohio 44305",8.7,17.9,45
"142 13th St Silvis, IL 61282",8.6,12.6,49
"9634 S Green St Chicago, IL 60643",7.1,11.0,55
"3514 W 123rd St Cleveland, OH 44111",6.8,16.3,50
"4551 Sunny View Dr Memphis, TN 38127",8.7,10.5,40
"883 Alhambra Rd Cleveland, Ohio 44110",12.3,18.9,45
"1015 Wycomb Dr Florissant, MO 63033",6.1,10.9,47
"1584 Hampton Rd Akron, OH 44305",10.4,19.6,40
"329 Stoneham Rd Memphis, TN 38109",9.3,11.3,39
"445 Lipford St Memphis, TN 38112",11.1,14.0,35
"1039 Mt Vernon Rd Memphis, TN 38111",6.6,9.2,50
"1209 Cove Ln St. Louis, MO 63138",9.4,12.1,46
"127 Hausman St Toledo, OH 43608",15.2,21.1,35
"1090 Diagonal Rd Akron, Ohio 44320",15.3,24.0,39
"4920 E 110th St Garfield Heights, OH 44125",7.2,13.0,49
"1845 W 48th St Cleveland, Ohio 44102",6.6,13.0,45
"8646 Ford Ave Warren, MI 48089",8.0,9.3,50
"3850 W 17th St Cleveland, Ohio 44109",12.0,18.3,39
"15555 Millard Ave Markham, IL 60428",9.0,12.1,45
"11400 Linnet Ave Cleveland, OH 44111",7.2,16.7,47
"13806 Coit Rd Cleveland, OH 44110",9.2,15.8,49
"656 E 126th St Cleveland, Ohio 44108",11.8,20.2,47
"10724 Gooding Ave Cleveland, OH 44108",15.5,23.9,46
"1773 Ball Rd Memphis, TN 38114",9.7,11.7,53
"1236 W 7th St Davenport, IA 52802",8.6,11.8,53
"15711 Grovewood Ave Cleveland, Ohio 44110",11.8,18.4,52
"209 E 13th St Davenport, Iowa 52803",10.8,16.6,53
"723 12th St Moline, IL 61265",8.5,13.5,53
"323 E 9th St Davenport, IA 52803",7.3,13.1,51
"5133 Dresden Ave St. Louis, MO 63116",7.8,13.3,49
"918 Frederick Blvd Akron, Ohio 44320",Â ,8.7,911000
